poet,title,dynasty,text,polarity,split
苏辙,和萧刓察推贺族叔司理登科还乡四首,宋,巷南诸子足才贤邂逅相逢秀句传强作短章同寄与异时见我一依然,Implicit Positive,train
马廷鸾,仰和皇太子殿下明禋庆成诗韵,宋,圣主精禋格明廷对月深元良赞宸极盛德享天心,Positive,train
范成大,钟山阁上望雨,宋,天阔山长雨似烟忽然飞去暗平川秔禾未实籼禾瘦不用廉纤便霈然,Implicit Positive,train
元好问,自邓州幕府暂归秋林,元,升斗微官不疗饥中林春雨蕨芽肥归来应被青山笑可惜缁尘染素衣,Implicit Positive,train
陆游,项里观杨梅四首,宋,山中户户作梅忙火齐骊珠入帝乡细织筠笼相映发华清虚说荔枝筐,Neutral,train
韦庄,中酒,唐,南邻酒熟爱相招蘸甲倾来绿满瓢一醉不知三日事任他童稚作渔樵,Implicit Positive,train
贺铸,梦后闻蛩,宋,笼灯耿欲灭枕下虫声切底许事相关煎人肠断绝,Negative,train
司马光,河边晚望,宋,高浪崩奔捲白沙悠悠极望入天涯谁能脱落尘中意乘兴东游坐石槎,Neutral,train
佘翔,上赵王,明,君王乐善汉东平几度褒章下玉京端拱由来无一事龙楼清夜望金茎,Implicit Positive,train
白居易,初除官蒙裴常侍赠鹘衔瑞草绯袍鱼袋因谢惠贶兼抒离情,唐,新授铜符未著绯因君装束始光辉惠深范叔绨袍赠荣过苏秦佩印归,Implicit Positive,train
张耒,晚春初夏八首,宋,青春已属明年事昼漏初知夏景长日日南风笋成竹残红虽有不成妆,Implicit Negative,test
廖刚,衢州试院次韵盛当时官长宠示二绝句,宋,挥麈论天幸此同酒杯共笑夜炉红共须速了公家事相逐西湖泛暖风,Implicit Positive,test
米芾,虹县旧题二首,宋,快霁一天清洲气健帆千里碧榆风满船书画同明月十日随风窈窕中,Positive,test
苏轼,金门寺中见李西台与二钱唱和西绝句戏用其韵跋之,宋,平生贺老惯乘舟骑马风前怕打头欲问君王乞符竹但忧无蟹有监州,Neutral,test
白居易,独酌忆微之,唐,独酌花前醉忆君与君春别又逢春惆怅银杯来处重不曾盛酒劝闲人,Implicit Negative,test
黄庭坚,洪范以不合俗人题厅壁二绝句次韵和之,宋,埋没高才筑钓间风云未会要鲵桓南康郡下参军耳付与红尘白眼看,Implicit Negative,train
李讷,命妓盛小丛歌饯崔侍御还阙,唐,绣衣奔命去情多南国佳人敛翠娥曾向教坊听国乐为君重唱盛丛歌,Implicit Positive,train
范仲淹,出守桐庐道中十绝,宋,有病甘长废无机苦直言江山藏拙好何敢望天阍,Implicit Negative,test
文天祥,使北,宋,客子漂摇万里程北征情味似南征小臣事主宁无罪只作幽州谪吏行,Neutral,train
李之仪,偶题六绝,宋,数卷新游蜀苑诗长安僻巷得相随草堂雪夜携琴处况似青城馆里时,Neutral,train
杨万里,送翁志道,宋,平生翁子妙谈天谁爱青山不爱官一笑同看岩下井秋来能更起微澜,Neutral,train
白玉蟾,独步,宋,月澹黄茅路烟明红叶村有怀如阮籍更赠一声猿,Neutral,train
蜀成王,拟古宫词一百首（今录三十首）,明,向暖嬉游笑语欢宫官忽道过金銮传呼声急人皆避尽闭窗棂纸隙看,Neutral,train
无名氏,玉手炉花,宋,习习东风二月馀此花宜近玉庭除美人云鬓不宜插献与观音作手炉,Neutral,train
白玉蟾,幽居杂兴,宋,月来佐酒如随牒花自从诗各寄名尽把烟霞归节制闲中排日听泉声,Neutral,train
钱钟书,向觉明达属题Legouis与Cazamian合著英国文学史三首,近现代,火聚刀林试命回又敦夙好拨寒灰荒城失喜书棚在也当慈仁寺里来,Implicit Positive,train
毛滂,春词,宋,柏酒勤称寿椒涂蚤却寒静无游乐事殊阔濯龙欢,Implicit Positive,train
高启,过旧送别处,明,前时送画船西港柳株边别处愁犹在鸳鸯不肯眠,Implicit Negative,train
白居易,晓眠后寄杨户部,唐,软绫腰褥薄绵被凉冷秋天稳暖身一觉晓眠殊有味无因寄与早朝人,Implicit Positive,train
杨万里,中秋无月宿青弋江晓行新寒,宋,新寒催我索衣裘凉雨凄云总是愁耐冷素娥今老去夜来桂殿罢中秋,Implicit Negative,train
释德洪,余将经行他山德庄自邑中驰书作诗见留是夕胡彦通亦会二君手谈达旦不寐明日霜重共读蔡德符兄弟所寄诗有怀其人五首,宋,蔡家兄弟好儿郎骨秀同熏知见香好在绿杨堤上路幅巾来往自相羊,Neutral,train
刘禹锡,听轧筝,唐,满座无言听轧筝秋山碧树一蝉清只应曾送秦王女写得云间鸾凤声,Implicit Positive,train
苏轼,再和杨公济梅花十绝,宋,人去残英满酒樽不堪细雨湿黄昏夜寒那得穿花蝶知是风流楚客魂,Implicit Negative,train
王猷,明妃曲,明,望幸君王辇不来香尘甘自老青苔当时幸有和亲约得向呼韩笑口开,Neutral,test
苏轼,骊山三绝句,宋,功成惟欲善持盈可叹前王恃太平辛苦骊山山下土阿房才废又华清,Implicit Negative,train
杨万里,连日二相过史局不到省中后园杏花开尽,宋,史馆频催史笔迟道山还解有忙时后园两日不曾到开尽杏花人不知,Implicit Negative,train
黄庭坚,病起荆江亭即事十首,宋,禁中夜半定天下仁风义气彻脩门十分整顿乾坤了复辟归来道更尊,Neutral,train
周敦颐,喜同费君长官游,宋,寻山寻水侣尤难爱利爱名心少閒此亦有君吾甚乐不辞高远共跻攀,Implicit Positive,train
刘克庄,戏咏文房四友,宋,昔可摧坚阵今难作选锋自怜吾鬓秃亦笑汝头童,Neutral,train
许及之,次韵才叔和陈大用七夕绝句,宋,宁少公荣莫少车良辰僧坐笑砖磨诗翁不至惟诗至好句虽多恨亦多,Neutral,train
吴惟信,赠任处士,宋,故园不恋恋西湖赁得民居作隠居开口不离仁义字闭门惟读圣贤书,Neutral,train
梅尧臣,风笛,宋,既殊出塞声还非江上听夜吹送悠扬高楼月方迥,Neutral,train
黄仲昭,下皋俱乐亭扁,明,列岫多情争秀丽野花随意放芳妍化工还有些儿欠背却西淙瀑布泉,Implicit Positive,train
黄庭坚,嗣深尚书弟晬日,宋,骨秀已知骐骥子性仁端是凤凰雏不腾渥水称神俊应出岐山作瑞符,Implicit Positive,train
杨万里,过吕城闸六首,宋,才闻开闸总驩欣第一牵夫有喜声只得片时天未黑后来天黑也甘行,Neutral,train
郑谷,寂寞,唐,江郡人稀便是村踏青天气欲黄昏春愁不破还成醉衣上泪痕和酒痕,Implicit Negative,train
杜牧,怀吴中冯秀才,唐,长洲苑外草萧萧却算游程岁月遥唯有别时今不忘暮烟秋雨过枫桥,Implicit Negative,train
陈师道,谢王立之送花,宋,过雨生泥风作尘马蹄声里度芳辰城南居士风流在时送名花与报春,Implicit Positive,train
赵佶,宫词,宋,万国升平庆有年九重荣盛百珍全民间财货虽丰富未识新颁大观钱,Implicit Positive,test
王安石,病中睡起折杏花数枝二首,宋,独卧南窗榻翛然五六旬已闻邻杏好故挽一枝春,Neutral,train
范成大,次韵马少伊木犀,宋,密密娇黄侍翠舆避风遮日小扶疎画阑想见悬秋晚无限宫香总不如,Neutral,test
郑谷,兴州江馆,唐,向蜀还秦计未成寒蛩一夜绕床鸣愁眠不稳孤灯尽坐听嘉陵江水声,Implicit Negative,test
陆游,送杰上人归成都二首,宋,锦城一别鬓成丝今日山阴送杰师乱絮飞花扑行路正如东郭放船时,Implicit Negative,train
陆游,出游遇雨而返二首,宋,荒山前头野水边东行西行不自怜天公岂亦哀老子风雨留教终日眠,Neutral,train
张耒,绝句,宋,伏暑新除风露清五更山舍一鸡鸣幽人枕上朦胧睡卧看东冈次第明,Implicit Positive,train
陈宓,约潘丈及小喻登横玉台观木香酴醾,宋,暮年无事挂胸怀祇为酴醾筑此台恰似唐朝元会日露翻珠翠六宫来,Implicit Positive,train
陆游,夏日三首,宋,展画发古香弄笔娱昼寂是中亦何好使我喜忘食,Implicit Positive,train
文天祥,赠南安黄梅峰,宋,清浅风流圣得知黄昏归鹤月来时岭头更有高寒处却是江南第一枝,Implicit Positive,train
司马光,寒食游南园独饮,宋,寒食良辰无赏心杂花烂熳柳成阴若非独酌酬佳景一日风光直万金,Neutral,train
陈宓,和泉州施通判,宋,物性由来易变迁精金百鍊始知坚相逢即别无佳语有负慇勤见赠篇,Implicit Positive,train
陆游,夜雨,宋,藩篱处处蔓牵牛薏苡丛深稗穗抽只道物生常茂遂一宵风雨又成秋,Neutral,train
舒庆春,观林务夏同志演贻顺哥,近现代,八年尚忆钗头凤今夕欣看烛蒂哥宜喜宜悲情似海轻愁微笑漾春波,Implicit Positive,train
杨万里,题罗溪李店,宋,谁道村郊野味侵柴扉竹榻草花清行行且止成佳梦不减崔张惊梦身,Implicit Positive,train
刘克庄,鹤会三首,宋,肉眼安能辨圣凡有时巾褐过城南亦无肘后堪传汝且向纯阳两字参,Neutral,train
屈大均,暮春山行,明,鹃花为我血殷红朵朵清明涕泪中望帝春心终不死幽林处处是蚕丛,Neutral,train
陆游,秋兴十二首,宋,鼍鼓华鲸响寺廊残芜落叶弄秋光蹇驴系著门前柳闲觅题名拂败墙,Neutral,train
刘宰,赠沈术士号金腰带,宋,万钉宝带诚堪羡七字成诗喜欲狂世事浮华有真趣赠君一笑作行囊,Positive,test
金朝觐,题惠远禅师小照,淸,无碍庄严法界开诸天欢喜见如来分明瓶柳垂甘露又度人间小善才,Implicit Positive,train
区大相,正月十五日霍君仪邀游朱季美山池同用畅超然之高情为韵,明,生平丘壑意到此即情畅花鸟入新年欣欣巳相向,Implicit Positive,train
李涉,题五松驿,唐,云木苍苍数万株此中言命的应无人生不得如松树却遇秦封作大夫,Neutral,train
白居易,劝欢,唐,火急欢娱慎勿迟眼看老病悔难追尊前花下歌筵里会有求来不得时,Neutral,train
刘克庄,宫词四首,宋,先帝宫人总道妆遥瞻陵柏泪成行旧恩恰似蔷薇水滴在罗衣到死香,Implicit Negative,train
陆游,示儿,宋,死去元知万事空但悲不见九州同王师北定中原日家祭无忘告乃翁,Negative,train
张耒,韩信,宋,登坛一日冠羣雄钟室仓皇念蒯通能用能诛谁计策嗟君终自愧萧公,Neutral,train
黄庭坚,谢答闻善二兄九绝句,宋,羣猪过饮尚可醉疥手轑瓮庸何伤柳家兄弟太迫窄狂药不容人发狂,Neutral,train
元好问,自题中州集后五首,元,文章得失寸心知千古朱弦属子期爱杀溪南辛老子相从何止十年迟,Neutral,test
杨万里,梳头看可正平诗有寄养直时未祝发等篇戏题七字二首,宋,却因理发得披文看尽庐山笔底春寄语可师休祝发癞边犹有去年痕,Neutral,train
杨万里,送傅山人二绝句,宋,江山有约未应疎浪自忙中白却须我昔属官今属我子能略伴瘦藤无,Neutral,train
宋祁,阅古堂,宋,堂皇对岑蔚欢酌坐怡然蟹美持螯日鲂甘抑鲊天,Positive,train
晏殊,金灯花,宋,兰香爇处光犹浅银烛烧时焰不馨好向书生窗下种免教辛苦更囊萤,Implicit Positive,train
陶安,奉赓御制诗韵三首送茅山宗师,明,烛龙飞出晓山巅草木欣欣总畅然洞里白云閒已乆又随玄鹤上瑶天,Implicit Positive,train
刘克庄,海棠七首,宋,蜀女羞施粉轻装爱淡红抹涂尚年少膏沐为谁容,Neutral,train
杨万里,晓炊黄竹庄三首,宋,城中殊未有梅看莫是冬暄欠浅寒行到深山最寒处两株香雪照冰滩,Neutral,train
元好问,杨柳,元,杨柳青青沟水流莺儿调舌弄娇柔桃花记得题诗客斜倚春风笑不休,Positive,train
杨万里,皇恐滩三首,宋,只愁江水去无还石打银涛倒上滩道是此滩天下恶古今放过几樯竿,Implicit Negative,test
张翥,朱翁子负薪卷,元,富贵危机解杀身是非千古付樵人当时长史魂应悔不向山中只负薪,Neutral,train
王绂,送大学士黄静庵先生拜封归永嘉,明,纶音褒美拜恩归父子同荣世所稀不但到家人共喜旧时泉石总生辉,Implicit Positive,train
黄庭坚,访赵君举,宋,朔风吹雪满都城晓踏骅骝访玉京相引槽头看春酒细流三峡夜泉声,Neutral,train
吴融,送杜鹃花,唐,春红始谢又秋红息国亡来入楚宫应是蜀冤啼不尽更凭颜色诉西风,Implicit Negative,test
杨万里,赵村,宋,杏花千树洛阳春白傅年年爱赵村月蕊晴葩风露格老夫移得在东园,Implicit Positive,train
魏初,赠笔工李子昭,元,广寒秋颖雪离披汤沐中书旧有期千古管城今乐地未应人笑是书痴,Neutral,train
韦庄,题李斯传,唐,蜀魄湘魂万古悲未悲秦相死秦时临刑莫恨仓中鼠上蔡东门去自迟,Implicit Negative,test
释函可,贺孝公被挞二首,明,狱吏何妨溺死灰独将鸡肋抵轰雷翻嫌昔日王孙饿宁受尊拳不受哀,Neutral,train
苏辙,雪中会孙洙舍人饮王氏西堂戏成三绝,宋,南国高人真巨源华堂邂逅接清樽十年一见都如梦莫怪终宵语笑喧,Implicit Positive,test
苏辙,次韵子瞻望湖楼上五绝,宋,湖山欲买恨无钱且尽芳樽对玉盘菱角鸡头应已厌蟹螯马颊更勤餐,Implicit Positive,train
司马光,次韵和复古春日五绝句,宋,雪霜哀鬓拔还生桃李新园长未成五十尚能胜六十今年又灭去年情,Neutral,train
魏了翁,和虞退夫韵,宋,醵酒成欢似旅酬偶然解后得英游却因乐极生良感今夜蟾光照几州,Implicit Positive,train
黄廷用,为李东冈都谏题双寿,明,辉辉南极映春城玉署彤闱客里情遥忆诸郎娱寿彩独怜游子在神京,Implicit Negative,train
陆游,周洪道招食江西笋归为绝句,宋,色如玉版猫头笋味抵驼峰牛尾狸归向妻孥誇至夕书生寒乞定难医,Implicit Positive,test
彭汝砺,游真州东园惜其将废运使兵部子正近止因寄小诗,宋,公才酬酢有馀闲六路从容指顾间仁泽但令民共乐不妨清赏遍江山,Implicit Positive,train
刘克庄,岁除即事十首,宋,细切如丝菜添斟献颂椒未曾守除夜早已问元宵,Neutral,train
杨娃,题赵伯骕画,宋,莲开宫沼年年盛香染斑衣叶叶新愿借琴音奏清雅薰风凉殿寿双亲,Implicit Positive,train
杜牧,途中一绝,唐,镜中丝发悲来惯衣上尘痕拂渐难惆怅江湖钓竿手却遮西日向长安,Implicit Negative,train
高启,慰周著作悼亡,明,笑披纱扇忆当年只有卿卿最得怜今日料应花不住夜灯相伴室中禅,Implicit Negative,test
陆游,岁暮六首,宋,少慕浮名百种痴老知世事尽儿嬉从今春困不须卖睡到日高三丈时,Neutral,test
陆游,新津小宴之明日欲逰修觉寺以雨不果呈范舍人二首,宋,风雨长亭话别离忍看清涙湿燕脂酒光摇荡歌云暖不似西楼夜宴时,Implicit Negative,test
陈为,曹仁宪谨荣寿七言截句,淸,耆英胜会庆休祥共祝三多介寿觞帝德天休同眷顾年年歌咏九如章,Implicit Positive,train
张元干,上平江陈侍郎十绝,宋,英灵精爽平生话尚记先生苜蓿槃仙去星辰终不灭至今梦想骨毛寒,Neutral,train
常纪,新都县吊杨升庵先生,淸,谪后疏狂祗自怜淋漓醉墨染蛮烟胸中血泪犹千斛风景谁云裂老颠,Negative,train
张孝祥,题西湖可赋轩,宋,风光猎猎上乌巾不那西湖烂熳春借我绳床对脩竹为君一洗软红尘,Implicit Positive,train
李之仪,再和观画三首,宋,扫除不尽自无痕底事狂缘尚有根几日宁宁图画里祇缘归思在江村,Implicit Negative,test
许家惺,吊黄花冈限阳香场韵（三首）,近现代,大招今日赋巫阳岭海犹飘晚节香惆怅黄花冈下过几人洒涕吊沙场,Implicit Negative,train
陆游,湖村月夕四首,宋,谁持緑酒醉幽人鹤氅笻枝发兴新今夜湖边有奇事青山缺处涌冰轮,Neutral,train
王安石,天童山溪上,宋,溪水清涟树老苍行穿溪树踏春阳溪深树密无人处唯有幽花渡水香,Implicit Positive,train
杨万里,初夏即事十二解,宋,莲叶头巾道样裁仙桃扇子午时回扑蝇堕地犹能旋闭阁生尘底处来,Neutral,test
文天祥,寄故人刘方斋,宋,溪头浊潦拥鱼虾笑杀渔翁下钓差棹取扁舟湖海去悠悠心事寄芦花,Neutral,train
梅尧臣,正仲答云鲎醤乃是毛鱼耳走笔戏之,宋,折却毛鱼一品资吴郎声屈向吾诗若论鮆子无从著冤气冲喉未可知,Implicit Positive,test
汪应辰,太上皇帝閤端午帖子词,宋,年年时节近天申喜气欢声逐日新请祝圣人如一口定知德寿万年春,Positive,train
范成大,渡淮,宋,船旗衮衮径长淮汴口人看拨不开昨夜南风浪如屋果然双节下天来,Neutral,train
张耒,西园风雨杂花谢,宋,楚泽春残雨又风啼莺芳草思无穷芜菁满地黄金烂不及蔷薇一点红,Positive,train
杨万里,雪中送客过清水闸二首,宋,肩舆九步十倾欹下有冰河不敢窥冰上水禽行似箭忽逢缺处得鱼儿,Neutral,train
范成大,四时田园杂兴六十首,宋,谷雨如丝复似尘煮瓶浮蜡正尝新牡丹破萼樱桃熟未许飞花减却春,Neutral,test
曾巩,酬柳国博,宋,行止恂恂众所褒东南佳誉映时髦洞无畦畛心常坦凛若冰霜节最高,Implicit Positive,train
高启,要离墓,明,弱夫杀壮士谁敢婴余怒今日古城边耕人肆侵墓,Implicit Negative,train
王彦泓,闲事杂题,明,丰神宜笑韵宜嗔随意梳头态更真流品自知应第一不劳寻见尹夫人,Implicit Positive,train
黄景仁,癸巳除夕偶成,淸,年年此夕费吟呻儿女灯前窃笑频汝辈何知吾自悔枉抛心力作诗人,Neutral,train
罗必元,金莲步,宋,金陵佳丽不虚传浦浦荷花水上仙未会与民同乐意却于宫里看金莲,Neutral,train
陆游,偶得双鲫二首,宋,酒兴森然不可回重阳未到菊先开一双鱍剌明吾眼催唤厨人斫鲙来,Implicit Positive,train
夏竦,御阁端午帖子,宋,太官角黍迎嘉节上圣斋居袭美祥金阙鉴观真绪远永延鸿庆庇多方,Positive,train
范成大,次韵袁起岩许浦按教水军二绝句,宋,戈船战棹疾如飞莫遣潮沙淀海湄草奏直须穷利病奉身从此系安危,Neutral,test
姜夔,三髙祠,宋,越国霸来头已白洛京归后梦犹惊沈思只羡天随子蓑笠寒江过一生,Implicit Negative,train
杨万里,晓过花桥入宣州界四首,宋,敬亭宛水故依然叠嶂双溪阿那边谢守不生梅老死倩谁海内掌风烟,Neutral,train
苏轼,刘监仓家煎米粉作饼子余云为甚酥潘邠老家造逡巡酒余饮之云莫作醋错著水来否？后数日携家饮郊外因作小诗戏刘公求之二首,宋,一杯连坐两髯棋数片深红入座飞十分潋滟君休赤且看桃花好面皮,Implicit Positive,test
王安石,郊行,宋,柔桑采尽绿阴稀芦箔蚕成密茧肥聊向村家问风俗如何勤苦尚凶饥,Neutral,train
郑谷,偶书,唐,承时偷喜负明神务实那能得庇身不会苍苍主何事忍饥多是力耕人,Neutral,train
苏轼,回先生过湖州东林沈氏饮醉以石榴皮书其家东老庵之壁云：「西邻已富忧不足东老虽贫乐有馀白酒酿来因好客黄金散尽为收书」西蜀和仲闻而次其韵三首东老沈氏之老自谓也湖人因以名之其子偕作诗有可观者,宋,凄凉雨露三年后仿佛尘埃数字馀至用榴皮缘底事中书君岂不中书,Implicit Negative,train
陆游,杂感四首,宋,古言忍字似而非独有痴顽二字奇此是龟堂安乐法大书铭座更何疑,Neutral,train
家铉翁,隠者图,宋,诗人偏爱渔人乐渔乐诗情一样奇欸乃数声烟雨外非宫非徵自成诗,Implicit Positive,train
杨万里,梅熟小雨,宋,风从独树忽然来雨去前山远却回留许枝间慰愁眼儿童抵死打黄梅,Neutral,train
王安石,朱朝议移法云兰,宋,幽兰有佳气千载閟山阿不出阿兰若岂遭乾闼婆,Neutral,test
陈宓,县圃栀子花三重生简潘君,宋,疎花早不奈香何三叠琼葩底用多最是动人情意处黄梅已老未逢荷,Implicit Positive,train
范成大,清远店,宋,女僮流汗逐毡軿云在淮乡有父兄屠婢杀奴官不问大书黥面罚犹轻,Implicit Negative,train
张耒,漫成三首,宋,容易得愁即不去苦教春物唤愁生遣愁饮酒大拙计遣谁蹙眉为慢声,Implicit Negative,train
陆游,起晚,宋,傍檐百舌语璁珑已觉新春在眼中欲起未成还小睡忽看初日满窗红,Implicit Positive,train
杜牧,醉后呈崔大夫,唐,谢傅秋凉阅管弦徒教贱子侍华筵溪头正雨归不得辜负东窗一觉眠,Neutral,test
宋无,老马,元,瘦蹄生入玉门关病放沙场战骨閒归龁残刍应有泪将军头白戍天山,Implicit Negative,train
明本,双髻峰有怀,元,双髻云深古道危不来夜半叩柴扉六年底事成遗恨寂寞空山啼子规,Implicit Negative,train
杨万里,十山歌呈太守胡平一,宋,北门今早顿然清怀璧操金尽夜行却有一般可怜底羣偷枉却费家兄,Neutral,train
李之仪,荷叶龟,宋,翠盖相扶两不攲多情独许见阳窥千年自有逃形处聊与清香暂约时,Neutral,train
晁补之,复和定国惠竹皮枕谑句,宋,老来山水兴弥深不在长安侠少林它日只为林下计不将锦被作呻吟,Neutral,test
陆游,寺楼月夜醉中戏作三首,宋,水精盏映碧琳腴月下泠泠看似无此酒定从何处得判知不是文君垆,Neutral,train
苏曼殊,为调筝人绘像二首,近现代,收拾禅心侍镜台沾泥残絮有沈哀湘弦洒遍胭脂泪香火重生劫后灰,Implicit Negative,test
王仲修,宫词,宋,太平无事似熙丰天乐声和下帝宫禽鸟也能知乐事宫莺娇醉弄春风,Positive,train
张籍,与贾岛闲游,唐,水北原南草色新雪消风暖不生尘城中车马应无数能解闲行有几人,Implicit Positive,train
杨万里,船过苏州二首,宋,暮风似箭复如刀落照那能暖客袍天远地平城更阔千寻玉塔尺来高,Implicit Negative,train
刘克庄,读本朝事有感十首,宋,未谏瑶华世未知故人已讶道乡迟退之著论差伤早不待阳城伏閤时,Implicit Negative,train
杨万里,下横山滩头望金华山四首,宋,道是兰溪水较宽兰溪欲到怪生难后船只羡前船快不觉前船阁在滩,Neutral,train
陆游,道室杂咏六首,宋,莫缘侯印学阴谋生世惟须一钓舟轻用镆铘终折缺善刀何止解千牛,Neutral,train
元好问,论诗三十首,元,百年才觉古风回元祐诸人次第来讳学金陵犹有说竟将何罪废欧梅,Neutral,train
王冕,梅花十五首,明,冷艳凝轻露清香度晚风如何冰玉质却学小桃红,Implicit Positive,train
张孝祥,偶得四月菊以奉提刑运使,宋,金缕裁衣玉缀裳扫除瘴暑作秋香一杯拟做重阳赏更借西风一夜凉,Implicit Positive,train
张耒,春日偶题四首,宋,舍北小桃才及肩可怜枝弱苦花繁黄昏雨急东风恶惜尔不禁春夜寒,Implicit Negative,test
范仲淹,送鄞江窦尉,宋,片帆飞去若轻鸿一霎春潮过浙东王谢江山久萧索子真今为起清风,Implicit Positive,train
黄庭坚,王立之以小诗送并蒂牡丹戏答二首,宋,露晞风晚别春丛拂掠残妆可意红多病废诗仍止酒可怜虽在与谁同,Implicit Negative,train
郑孝胥,二月廿七日集沈祠文肃公生日,近现代,潭上祠堂拜此辰傍祠潭水碧鳞鳞石城作里崇遗爱嘉树成阴表好春,Implicit Positive,train
王安石,乌江亭,宋,百战疲劳壮士哀中原一败势难回江东子弟今虽在肯与君王卷土来,Implicit Negative,train
赵崇嶓,幽斋,宋,幽斋宜清复宜温高卧腾腾百不闻赢得神安无梦事从教黄叶夜纷纷,Implicit Positive,train
王安石,次吴氏女子韵,宋,孙陵西曲岸乌纱知汝凄凉正忆家人世岂能无聚散亦逢佳节且吹花,Implicit Negative,train
苏辙,送周思道朝议归守汉州三绝,宋,梓汉东西甲乙州同时父子两诸侯它年我作西归计兄弟还能得此不,Neutral,train
白居易,乱后过流沟寺,唐,九月徐州新战后悲风杀气满山河唯有流沟山下寺门前依旧白云多,Implicit Negative,train
寇准,舂陵闻雁,宋,萧萧疏叶下长亭云淡秋空一雁经惟有北人偏怅望孤城独上倚楼听,Implicit Negative,train
王安石,三品石,宋,草没苔侵弃道周误恩三品竟何酬国亡今日顽无耻似为当年不与谋,Implicit Negative,test
萨都剌,将入闽赵郡崔好德求题舆地图,元,月轮西转日生东四海车书总会同骑马出门天万里山川长在别离中,Neutral,train
宋祁,书斋前柏八株森植翠茂,宋,总总长柯上离离翠实疏休誇冒霜雪仅得守门闾,Implicit Negative,train
钱时,得片石著岁寒栏干外二首,宋,片石飞来入品题曲栏池上尔偏宜老怀易得生欢喜冷面相看又赋诗,Neutral,train
司马光,初夏独游南园二首,宋,桃李都无日梧桐半死身那堪衰病意更作独游人,Negative,train
李涉,题温泉,唐,能使时平四十春开元圣主得贤臣当时姚宋并燕许尽是骊山从驾人,Implicit Positive,train
胡宿,皇帝閤端午帖子,宋,商管微阴动良辰午正端三光扶圣寿亿载奉皇欢,Positive,train
陆游,道石三首,宋,秋风袅袅雨斑斑身隐幽窗笔砚间小试壶公缩地术数峰闲对道州山,Neutral,train
晁补之,蔡州叔父金部挽歌辞五首,宋,闻道一廛亲卜筑亦求百亩伴锄犁那知湖海归来日只及乡闾会葬时,Implicit Negative,train
刘克庄,秋望二首,宋,暮色苍然上野台废塘尚有数荷开望中爱杀城南柳只怕霜风一夜来,Implicit Negative,train
王安石,荷花,宋,亭亭风露拥川坻天放娇娆岂自知一舸超然他日事故应将尔当西施,Implicit Positive,train
张耒,徐园閒步二首,宋,动地春风晚未休吹花折柳却成愁尘埃不用频车马独卧氍毹正拥裘,Implicit Negative,test
陈宓,延平得雪,宋,连年疾疠缘何事祇为天时太暖生今日六花初献瑞定知田里顿身轻,Implicit Positive,train
龙辅,答外,宋,君信问平安闺中差可欢竹佳连露倚云好下阶看,Positive,train
宋祁,和晏相公青城,宋,连天华帟竦南端画角吟龙叠鼓喧按曲已休雕辇入五营斜日亚旗竿,Neutral,train
何梦桂,和管雪堂劝农之什,宋,凝香坐啸有弘农更得冰壶照幕中人道千峯多好事好宾尤好主人翁,Implicit Positive,train
许浑,酬江西卢端公蓝口阻风见寄之什,唐,又携刀笔泛膺舟蓝口风高桂楫留还似郢中歌一曲夜来春雪照西楼,Neutral,test
杨万里,走笔和张功父玉照堂十绝句,宋,今岁略无霜报寒忽然一夜雪漫漫雪花要作梅花地十月早梅和雪看,Neutral,train
王松,感作,淸,暮云惨淡正愁侬有酒难浇块垒胸迂拙深时招世谤是非多处结交慵,Negative,train
丘逢甲,王姑庵绝句十六首,淸,瘦石零花半塔欹萧条香蜕葬江湄尚书老死遗民尽谁署天潢小裔碑,Implicit Negative,test
白居易,勤政楼西老柳,唐,半朽临风树多情立马人开元一株柳长庆二年春,Implicit Negative,train
刘克庄,病后访梅九绝,宋,先生岁晚被人疑梅畔浑无一字诗明月清风愁并案野花啼鸟怕随司,Implicit Negative,train
贾岛,滕校书使院小池,唐,小池谁见凿时初走水南来十里馀楼上日斜吹暮角院中人出锁游鱼,Implicit Negative,train
白居易,奉酬李相公见示绝句,唐,碧油幢下捧新诗荣贱虽殊共一悲涕泪满襟君莫怪甘泉侍从最多时,Negative,test
范成大,清音堂与赵德庄太常小饮在馀干琵琶洲傍洲以形似得名,宋,曲浦弯环绕县青一杯閒客两飘零琵琶不语苍烟暮山水清音著意听,Implicit Negative,train
黄庭坚,次韵吉老十小诗,宋,斲鼻昔常尔绝弦知者稀无人与争长惟有钓鱼矶,Neutral,train
王安石,将母,宋,将母邗沟上留家白纻阴月明闻杜宇南北总关心,Implicit Negative,train
王邦畿,送朱士琏归南州,明,南天风雨黯南州折柳春江南渡头聚散一时君莫叹百年终有此离忧,Implicit Negative,train
杨万里,过杨子桥二首,宋,客愁满目政无聊忽报船经杨子桥未到江南心已喜隔江山色碧相招,Implicit Positive,train
苏辙,舟中风雪五绝,宋,北风吹雪密还稀雪势渐多风力微孤棹独依银世界山川路绝欲安归,Implicit Negative,train
文天祥,镇江之战第十八,宋,海胡舶千艘肉食三十万江平不肯流到今有遗恨,Implicit Negative,train
张耒,桓温,宋,北征谈笑缚姚公静扫诸陵见洛嵩不用登高笑夷甫正缘此辈使君雄,Neutral,train
刘克庄,绿珠,宋,畏死仕新室轻生谢季伦细评投阁者大愧坠楼人,Neutral,train
